country,country_slug,section,item_name,item_slug,search_query,image_path,is_duplicate,first_section,status
Mexico,mexico,animals,Jaguar,jaguar,Jaguar,data/country_card_images/mexico/jaguar.jpg,no,animals,downloaded
Mexico,mexico,animals,Golden Eagle,golden_eagle,Golden Eagle,data/country_card_images/mexico/golden_eagle.jpg,no,animals,downloaded
Mexico,mexico,animals,Axolotl,axolotl,Axolotl,data/country_card_images/mexico/axolotl.jpg,no,animals,downloaded
Mexico,mexico,animals,Monarch Butterfly,monarch_butterfly,Monarch Butterfly,data/country_card_images/mexico/monarch_butterfly.jpg,no,animals,downloaded
Mexico,mexico,foods,Tacos,tacos,Tacos Mexico,data/country_card_images/mexico/tacos.jpg,no,foods,downloaded
Mexico,mexico,foods,Guacamole,guacamole,Guacamole Mexico,data/country_card_images/mexico/guacamole.jpg,no,foods,downloaded
Mexico,mexico,foods,Tamales,tamales,Tamales Mexico,data/country_card_images/mexico/tamales.jpg,no,foods,downloaded
Mexico,mexico,foods,Elotes (street corn),elotes_street_corn,Elotes (street corn) Mexico,data/country_card_images/mexico/elotes_street_corn.jpg,no,foods,downloaded
Mexico,mexico,landmarks,Chichen Itza,chichen_itza,Chichen Itza Mexico,data/country_card_images/mexico/chichen_itza.jpg,no,landmarks,downloaded
Mexico,mexico,landmarks,Teotihuacan,teotihuacan,Teotihuacan Mexico,data/country_card_images/mexico/teotihuacan.jpg,no,landmarks,downloaded
Mexico,mexico,landmarks,Copper Canyon,copper_canyon,Copper Canyon Mexico,data/country_card_images/mexico/copper_canyon.jpg,no,landmarks,downloaded
Mexico,mexico,landmarks,Mexico City Cathedral,mexico_city_cathedral,Mexico City Cathedral Mexico,data/country_card_images/mexico/mexico_city_cathedral.jpg,no,landmarks,downloaded
Mexico,mexico,cheer_reasons,Tacos,tacos,Tacos Mexico,data/country_card_images/mexico/tacos.jpg,yes,foods,downloaded
Mexico,mexico,cheer_reasons,Ancient pyramids,ancient_pyramids,Ancient pyramids Mexico,data/country_card_images/mexico/ancient_pyramids.jpg,no,cheer_reasons,downloaded
Mexico,mexico,cheer_reasons,Jaguars,jaguars,Jaguars Mexico,data/country_card_images/mexico/jaguars.jpg,no,cheer_reasons,downloaded
