id,round,bracket_slot,match_number,home_team,away_team,home_source,away_source,match_date,kickoff_time_et,venue,city,host_country,winner_to_id,winner_to_slot,loser_to_id,loser_to_slot
101,r32,3,73,South Africa,Canada,2nd Group A,2nd Group B,2026-06-28,15:00,SoFi Stadium,Inglewood,USA,118,home,,
102,r32,1,74,Germany,Paraguay,1st Group E,3rd Group D,2026-06-29,16:30,Gillette Stadium,Foxborough,USA,117,home,,
103,r32,4,75,Netherlands,Morocco,1st Group F,2nd Group C,2026-06-29,21:00,Estadio BBVA,Guadalupe,Mexico,118,away,,
104,r32,9,76,Brazil,Japan,1st Group C,2nd Group F,2026-06-29,13:00,NRG Stadium,Houston,USA,119,home,,
105,r32,2,77,France,Sweden,1st Group I,3rd Group F,2026-06-30,17:00,MetLife Stadium,East Rutherford,USA,117,away,,
106,r32,10,78,Ivory Coast,Norway,2nd Group E,2nd Group I,2026-06-30,13:00,AT&T Stadium,Arlington,USA,119,away,,
107,r32,11,79,Mexico,Ecuador,1st Group A,3rd Group E,2026-06-30,21:00,Estadio Azteca,Mexico City,Mexico,120,home,,
108,r32,12,80,England,DR Congo,1st Group L,3rd Group K,2026-07-01,12:00,Mercedes-Benz Stadium,Atlanta,USA,120,away,,
109,r32,7,81,USA,Bosnia and Herzegovina,1st Group D,3rd Group B,2026-07-01,20:00,Levi's Stadium,Santa Clara,USA,122,home,,
110,r32,8,82,Belgium,Senegal,1st Group G,3rd Group I,2026-07-01,16:00,Lumen Field,Seattle,USA,122,away,,
111,r32,5,83,Portugal,Croatia,2nd Group K,2nd Group L,2026-07-02,19:00,BMO Field,Toronto,Canada,121,home,,
112,r32,6,84,Spain,Austria,1st Group H,2nd Group J,2026-07-02,15:00,SoFi Stadium,Inglewood,USA,121,away,,
113,r32,15,85,Switzerland,Algeria,1st Group B,3rd Group J,2026-07-02,23:00,BC Place,Vancouver,Canada,124,home,,
114,r32,13,86,Argentina,Cape Verde,1st Group J,2nd Group H,2026-07-03,18:00,Hard Rock Stadium,Miami Gardens,USA,123,home,,
115,r32,16,87,Colombia,Ghana,1st Group K,3rd Group L,2026-07-03,21:30,Arrowhead Stadium,Kansas City,USA,124,away,,
116,r32,14,88,Australia,Egypt,2nd Group D,2nd Group G,2026-07-03,14:00,AT&T Stadium,Arlington,USA,123,away,,
117,r16,1,89,,,W M74,W M77,2026-07-04,17:00,Lincoln Financial Field,Philadelphia,USA,125,home,,
118,r16,2,90,,,W M73,W M75,2026-07-04,13:00,NRG Stadium,Houston,USA,125,away,,
119,r16,5,91,,,W M76,W M78,2026-07-05,16:00,MetLife Stadium,East Rutherford,USA,127,home,,
120,r16,6,92,,,W M79,W M80,2026-07-05,20:00,Estadio Azteca,Mexico City,Mexico,127,away,,
121,r16,3,93,,,W M83,W M84,2026-07-06,15:00,AT&T Stadium,Arlington,USA,126,home,,
122,r16,4,94,,,W M81,W M82,2026-07-06,20:00,Lumen Field,Seattle,USA,126,away,,
123,r16,7,95,,,W M86,W M88,2026-07-07,12:00,Mercedes-Benz Stadium,Atlanta,USA,128,home,,
124,r16,8,96,,,W M85,W M87,2026-07-07,16:00,BC Place,Vancouver,Canada,128,away,,
125,qf,1,97,,,W M89,W M90,2026-07-09,16:00,Gillette Stadium,Foxborough,USA,129,home,,
126,qf,2,98,,,W M93,W M94,2026-07-10,15:00,SoFi Stadium,Inglewood,USA,129,away,,
127,qf,3,99,,,W M91,W M92,2026-07-11,17:00,Hard Rock Stadium,Miami Gardens,USA,130,home,,
128,qf,4,100,,,W M95,W M96,2026-07-11,21:00,Arrowhead Stadium,Kansas City,USA,130,away,,
129,sf,1,101,,,W M97,W M98,2026-07-14,15:00,AT&T Stadium,Arlington,USA,132,home,131,home
130,sf,2,102,,,W M99,W M100,2026-07-15,15:00,Mercedes-Benz Stadium,Atlanta,USA,132,away,131,away
131,third_place,1,103,,,L M101,L M102,2026-07-18,17:00,Hard Rock Stadium,Miami Gardens,USA,,,
132,final,1,104,,,W M101,W M102,2026-07-19,15:00,MetLife Stadium,East Rutherford,USA,,,
