id,round,bracket_slot,match_number,home_team_id,away_team_id,home_name,away_name,match_date,home_score,away_score,winner_team_id,status,home_penalties,away_penalties
101,r32,3,73,2,5,South Africa,Canada,2026-06-28,0,1,5,completed,,
102,r32,1,74,17,14,Germany,Paraguay,2026-06-29,1,1,14,completed,,1
103,r32,4,75,21,10,Netherlands,Morocco,2026-06-29,1,1,10,completed,,1
104,r32,9,76,9,22,Brazil,Japan,2026-06-29,2,1,9,completed,,
105,r32,2,77,33,23,France,Sweden,2026-06-30,3,0,33,completed,,
106,r32,10,78,19,35,Ivory Coast,Norway,2026-06-30,1,2,35,completed,,
107,r32,11,79,1,20,Mexico,Ecuador,2026-06-30,2,0,1,completed,,
108,r32,12,80,45,42,England,DR Congo,2026-07-01,2,1,45,completed,,
109,r32,7,81,13,6,USA,Bosnia and Herzegovina,2026-07-01,2,0,13,completed,,
110,r32,8,82,25,34,Belgium,Senegal,2026-07-01,3,2,25,completed,,
111,r32,5,83,41,46,Portugal,Croatia,2026-07-02,2,1,41,completed,,
112,r32,6,84,29,39,Spain,Austria,2026-07-02,3,0,29,completed,,
113,r32,15,85,8,38,Switzerland,Algeria,2026-07-02,2,0,8,completed,,
114,r32,13,86,37,30,Argentina,Cape Verde,2026-07-03,3,2,37,completed,,
115,r32,16,87,44,47,Colombia,Ghana,2026-07-03,1,0,44,completed,,
116,r32,14,88,15,26,Australia,Egypt,2026-07-03,1,1,26,completed,,1
117,r16,1,89,14,33,Paraguay,France,2026-07-04,0,1,33,completed,,
118,r16,2,90,5,10,Canada,Morocco,2026-07-04,0,2,10,completed,,
119,r16,5,91,9,35,Brazil,Norway,2026-07-05,1,2,35,completed,,
120,r16,6,92,1,45,Mexico,England,2026-07-05,2,3,45,completed,,
121,r16,3,93,41,29,Portugal,Spain,2026-07-06,0,1,29,completed,,
122,r16,4,94,13,25,USA,Belgium,2026-07-06,1,4,25,completed,,
123,r16,7,95,37,26,Argentina,Egypt,2026-07-07,3,2,37,completed,,
124,r16,8,96,8,44,Switzerland,Colombia,2026-07-07,0,0,8,completed,4,3
