home_team,away_team,match_date,home_score,away_score,status
Mexico,South Africa,2026-06-11,2,0,completed
South Korea,Czechia,2026-06-12,2,1,completed
Canada,Bosnia and Herzegovina,2026-06-12,1,1,completed
USA,Paraguay,2026-06-12,4,1,completed
Qatar,Switzerland,2026-06-13,1,1,completed
Brazil,Morocco,2026-06-13,1,1,completed
Haiti,Scotland,2026-06-13,0,1,completed
Australia,Türkiye,2026-06-14,2,0,completed
Germany,Curaçao,2026-06-14,7,1,completed
Netherlands,Japan,2026-06-14,2,2,completed
Ivory Coast,Ecuador,2026-06-14,1,0,completed
Sweden,Tunisia,2026-06-14,5,1,completed
Spain,Cape Verde,2026-06-15,0,0,completed
Belgium,Egypt,2026-06-15,1,1,completed
Saudi Arabia,Uruguay,2026-06-15,1,1,completed
Iran,New Zealand,2026-06-15,2,2,completed
France,Senegal,2026-06-16,3,1,completed
Iraq,Norway,2026-06-16,1,4,completed
Argentina,Algeria,2026-06-16,3,0,completed
Austria,Jordan,2026-06-17,3,1,completed
Portugal,DR Congo,2026-06-17,1,1,completed
England,Croatia,2026-06-17,4,2,completed
Ghana,Panama,2026-06-17,1,0,completed
Uzbekistan,Colombia,2026-06-17,1,3,completed
Czechia,South Africa,2026-06-18,1,1,completed
Switzerland,Bosnia and Herzegovina,2026-06-18,4,1,completed
Canada,Qatar,2026-06-18,6,0,completed
Mexico,South Korea,2026-06-18,1,0,completed
USA,Australia,2026-06-19,2,0,completed
Scotland,Morocco,2026-06-19,0,1,completed
Brazil,Haiti,2026-06-19,3,0,completed
Türkiye,Paraguay,2026-06-20,0,1,completed
Netherlands,Sweden,2026-06-20,5,1,completed
Germany,Ivory Coast,2026-06-20,2,1,completed
Ecuador,Curaçao,2026-06-20,0,0,completed
Tunisia,Japan,2026-06-21,0,4,completed
Spain,Saudi Arabia,2026-06-21,4,0,completed
Belgium,Iran,2026-06-21,0,0,completed
Uruguay,Cape Verde,2026-06-21,2,2,completed
New Zealand,Egypt,2026-06-21,1,3,completed
Argentina,Austria,2026-06-22,2,0,completed
France,Iraq,2026-06-22,3,0,completed
Norway,Senegal,2026-06-22,3,2,completed
Jordan,Algeria,2026-06-22,1,2,completed
Portugal,Uzbekistan,2026-06-23,5,0,completed
England,Ghana,2026-06-23,0,0,completed
Panama,Croatia,2026-06-23,0,1,completed
Colombia,DR Congo,2026-06-23,1,0,completed
Switzerland,Canada,2026-06-24,2,1,completed
Bosnia and Herzegovina,Qatar,2026-06-24,3,1,completed
Scotland,Brazil,2026-06-24,0,3,completed
Morocco,Haiti,2026-06-24,4,2,completed
Czechia,Mexico,2026-06-24,0,3,completed
South Africa,South Korea,2026-06-24,1,0,completed
Ecuador,Germany,2026-06-25,2,1,completed
Curaçao,Ivory Coast,2026-06-25,0,2,completed
Japan,Sweden,2026-06-25,1,1,completed
Tunisia,Netherlands,2026-06-25,1,3,completed
Türkiye,USA,2026-06-25,3,2,completed
Paraguay,Australia,2026-06-25,0,0,completed
Norway,France,2026-06-26,1,4,completed
Senegal,Iraq,2026-06-26,5,0,completed
Cape Verde,Saudi Arabia,2026-06-26,0,0,completed
Uruguay,Spain,2026-06-26,0,1,completed
Egypt,Iran,2026-06-26,1,1,completed
New Zealand,Belgium,2026-06-26,1,5,completed
Panama,England,2026-06-27,0,2,completed
Croatia,Ghana,2026-06-27,2,1,completed
Colombia,Portugal,2026-06-27,0,0,completed
DR Congo,Uzbekistan,2026-06-27,3,1,completed
Algeria,Austria,2026-06-27,3,3,completed
Jordan,Argentina,2026-06-27,1,3,completed
